Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária Detalhada
Período:2017
"Município-BA";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 ano";"2 anos";"3 anos";"4 anos";"5 anos";"6 anos";"7 anos";"8 anos";"9 anos";"10 anos";"11 anos";"12 anos";"13 anos";"14 anos";"15 anos";"16 anos";"17 anos";"18 anos";"19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"291300 Ibitiara";1;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;2;1;5;2;2;5;4;8;8;11;41;-;96
"291310 Ibititá";3;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;1;1;2;1;5;6;4;6;3;7;11;14;16;28;-;112
"291320 Ibotirama";7;1;4;2;2;-;2;-;-;-;-;-;-;-;-;-;-;1;-;2;3;4;10;8;8;6;13;8;11;9;9;16;12;20;45;1;204
"291330 Ichu";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;-;1;-;-;1;-;2;3;5;8;10;-;36
"291340 Igaporã";2;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;3;2;3;5;4;3;5;4;3;5;7;42;-;93
"291345 Igrapiúna";-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;1;1;1;1;1;2;3;2;2;7;5;3;8;1;3;9;-;55
"291350 Iguaí";2;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;1;-;3;8;4;1;5;4;7;5;18;12;15;21;58;1;171
"291360 Ilhéus";33;7;7;4;1;-;2;1;-;-;-;1;1;-;3;-;2;1;5;5;11;8;44;45;37;40;42;45;78;96;85;107;140;135;363;1;1350
"291370 Inhambupe";7;1;2;-;1;-;-;-;1;1;1;-;-;-;-;-;-;2;1;4;2;1;10;7;14;12;8;11;12;9;11;16;23;21;70;-;248
"291380 Ipecaetá";3;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;2;-;2;2;1;6;4;6;7;11;7;13;44;-;113
"291390 Ipiaú";13;1;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;4;1;2;1;15;16;4;10;10;15;15;29;30;21;41;40;105;-;380
"291400 Ipirá";6;3;2;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;3;-;3;14;11;10;7;10;17;23;25;23;21;39;40;152;-;413
"291410 Ipupiara";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;1;1;-;3;5;7;5;6;8;9;32;-;82
"291420 Irajuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;1;2;2;2;1;3;8;1;11;-;36
"291430 Iramaia";1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;1;-;2;3;2;-;4;3;5;4;22;-;52
"291440 Iraquara";2;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;4;1;2;3;5;5;10;10;16;10;15;14;51;-;153
"291450 Irará";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;6;7;5;3;6;9;12;8;16;18;14;17;71;-;201
"291460 Irecê";5;4;4;2;-;1;-;1;-;-;-;-;1;-;1;-;-;1;1;4;4;2;26;17;14;21;16;23;22;24;37;37;45;48;100;-;461
"291465 Itabela";2;2;5;-;-;-;-;-;-;-;-;-;-;-;1;1;3;3;4;2;3;3;13;7;8;8;10;8;8;9;12;24;15;15;39;-;205
"291470 Itaberaba";7;-;3;1;-;-;1;-;-;-;-;-;-;-;-;1;2;2;3;3;1;1;10;9;15;12;16;14;27;24;31;39;32;43;154;-;451
"291480 Itabuna";33;10;13;5;1;1;1;3;-;3;2;1;1;-;-;1;3;5;6;10;10;9;45;35;51;50;55;67;88;111;129;158;145;177;398;2;1629
"291490 Itacaré";4;2;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;9;5;6;7;5;3;3;11;6;7;11;10;13;-;108
"291500 Itaeté";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;1;2;2;2;3;2;5;2;7;5;5;9;4;16;-;68
"291510 Itagi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;2;2;2;2;5;1;7;8;14;9;11;9;39;-;113
"291520 Itagibá";1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3;3;-;1;2;5;4;7;10;4;5;11;32;-;91
"291530 Itagimirim";1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;2;-;2;1;4;1;2;-;5;5;12;22;-;63
"291535 Itaguaçu da Bahia";3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;1;2;2;4;3;5;2;1;4;6;8;19;-;66
"291540 Itaju do Colônia";-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;2;-;1;1;1;1;2;1;2;3;5;10;6;-;39
"291550 Itajuípe";5;-;1;-;-;-;-;1;1;-;-;-;1;-;-;1;1;1;1;2;2;1;1;2;2;6;9;12;6;9;11;16;16;16;52;-;176
"291560 Itamaraju";6;1;4;2;1;-;1;-;1;1;-;1;1;-;-;1;3;1;3;6;7;8;17;19;16;16;12;13;29;36;41;46;43;44;95;-;475
"291570 Itamari";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;1;1;1;2;2;3;3;4;4;16;-;42
"291580 Itambé";4;-;1;-;1;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;1;8;2;3;7;7;8;7;9;7;22;16;22;56;2;187
"291590 Itanagra";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;5;-;4;2;3;3;7;-;30
"291600 Itanhém";-;-;1;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;5;3;5;3;9;4;8;7;6;12;19;17;50;1;154
"291610 Itaparica";5;1;1;-;1;-;-;-;1;1;-;-;-;-;-;-;2;1;2;-;3;-;8;6;9;2;4;9;11;8;12;11;8;20;20;-;146
"291620 Itapé";1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;2;2;6;1;7;7;3;6;6;12;26;-;86
"291630 Itapebi";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;1;4;4;2;5;2;1;6;7;4;7;5;9;15;-;78
"291640 Itapetinga";10;3;4;-;2;-;-;-;-;-;-;-;-;-;-;3;-;-;3;3;4;1;21;10;9;15;26;19;20;44;35;49;50;54;137;1;523
"291650 Itapicuru";6;2;3;1;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;3;4;3;4;7;6;11;7;14;8;12;23;14;49;-;180
"291660 Itapitanga";2;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;4;3;2;2;4;9;3;18;-;55
"291670 Itaquara";3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;2;2;2;5;5;-;4;7;7;23;-;64
"291680 Itarantim";3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;3;3;2;1;3;3;6;7;6;11;6;15;34;-;109
"291685 Itatim";-;-;2;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;2;4;2;9;1;4;6;3;4;4;4;4;3;32;-;90
"291690 Itiruçu";3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;6;1;1;1;4;2;9;4;9;8;4;20;28;-;102
"291700 Itiúba";8;1;3;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;2;2;-;1;4;3;5;4;7;9;2;10;7;17;10;20;72;-;190
"291710 Itororó";2;-;2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;2;2;4;2;3;3;5;8;9;18;21;42;-;129
"291720 Ituaçu";1;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;2;1;4;3;10;3;7;8;12;11;12;46;-;125
"291730 Ituberá";4;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;2;-;4;2;3;4;6;10;10;17;11;13;15;14;42;-;163
"291733 Iuiú";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;4;2;2;3;3;3;6;6;11;-;45
"291735 Jaborandi";2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;4;-;2;4;4;5;1;6;4;11;-;49
"291740 Jacaraci";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;1;1;1;1;2;3;8;3;5;5;11;38;-;85
"291750 Jacobina";9;1;5;2;-;3;-;-;2;-;-;-;-;1;-;-;-;1;3;6;2;4;10;10;14;19;22;18;40;25;41;50;73;64;168;1;594
"291760 Jaguaquara";9;-;1;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;3;9;4;9;13;12;13;18;20;24;30;33;30;125;-;360
"291770 Jaguarari";4;-;6;-;2;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;3;5;4;1;2;8;9;12;13;5;10;25;25;80;-;217
"291780 Jaguaripe";2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;5;3;5;6;3;1;2;10;10;11;13;20;-;96
"291790 Jandaíra";-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;1;3;1;2;5;5;5;5;8;19;-;61
"291800 Jequié";20;6;7;4;1;1;-;-;-;-;-;-;1;-;-;2;1;1;4;5;7;8;33;40;39;27;26;56;66;77;88;90;105;95;346;-;1156
"291810 Jeremoabo";3;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;2;1;6;6;3;9;3;13;10;13;17;13;29;18;78;1;230
"291820 Jiquiriçá";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;2;-;2;4;6;7;8;9;12;34;-;89
"291830 Jitaúna";2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;4;9;8;7;10;14;8;38;-;105
"291835 João Dourado";2;1;2;1;-;1;1;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;8;5;2;10;-;4;10;9;6;12;18;10;42;-;148
"291840 Juazeiro";45;13;20;5;3;-;2;2;1;-;1;-;-;1;1;2;6;6;-;9;6;7;32;42;43;57;55;63;78;93;75;108;102;129;323;2;1332
"291845 Jucuruçu";2;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;8;2;3;2;1;2;5;9;17;-;57
"291850 Jussara";4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;3;2;5;3;4;6;7;8;12;14;15;28;-;114
"291855 Jussari";2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;5;-;1;5;1;2;2;4;4;3;3;4;16;-;54
"291860 Jussiape";1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;2;-;-;2;2;11;9;6;41;-;81
"291870 Lafaiete Coutinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;1;2;1;3;1;15;-;27
"291875 Lagoa Real";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;3;2;3;4;5;3;2;4;27;-;56
"291880 Laje";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;5;2;5;11;6;6;9;4;10;14;10;10;56;-;151
"291890 Lajedão";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;3;2;3;3;2;19;-;37
"291900 Lajedinho";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;2;1;1;1;4;1;4;-;17
"291905 Lajedo do Tabocal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;2;1;3;2;-;5;8;1;20;-;45
"291910 Lamarão";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;1;2;2;4;1;3;4;3;1;3;23;-;53
"291915 Lapão";3;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;1;4;8;7;8;7;9;10;10;11;15;10;15;46;-;169
"291920 Lauro de Freitas";24;8;9;-;1;-;1;-;-;1;-;-;1;-;-;2;3;10;11;13;12;13;58;45;51;46;44;58;64;67;99;101;89;86;247;-;1164
"291930 Lençóis";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;5;3;4;2;1;4;5;6;2;5;15;-;59
"291940 Licínio de Almeida";3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;3;2;2;5;7;4;5;4;10;28;-;78
"291950 Livramento de Nossa Senhora";3;-;1;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;1;2;4;6;5;6;11;13;14;16;23;30;98;-;237
"291955 Luís Eduardo Magalhães";15;4;4;3;1;1;2;1;-;-;-;-;-;1;-;-;-;4;1;4;2;3;16;20;20;16;14;14;12;21;16;18;16;13;23;1;266
"291960 Macajuba";-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;4;1;4;3;7;5;7;5;5;6;26;-;79
"291970 Macarani";5;-;3;1;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;1;-;-;1;2;7;2;4;2;8;11;13;15;12;36;-;127
"291980 Macaúbas";5;1;5;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;4;3;8;3;7;3;12;13;17;12;21;27;95;-;240
"291990 Macururé";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;2;-;1;1;7;4;4;15;-;42
"291992 Madre de Deus";6;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;3;2;1;8;2;5;2;2;2;7;10;4;11;11;6;25;-;111
"291995 Maetinga";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;1;3;11;4;1;29;-;55
"292000 Maiquinique";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;1;1;-;1;4;2;2;9;8;4;5;13;-;55
"292010 Mairi";1;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4;3;3;4;5;6;10;10;14;5;12;41;-;122
"292020 Malhada";1;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;7;7;4;5;3;6;5;7;7;12;18;-;86
"292030 Malhada de Pedras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3;2;1;2;-;1;1;4;3;4;11;25;-;59
"292040 Manoel Vitorino";-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;-;3;-;1;-;2;7;2;1;5;8;4;10;27;-;75
"292045 Mansidão";3;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;1;1;1;1;-;2;-;-;4;2;4;2;12;-;38
"292050 Maracás";1;-;2;1;1;-;-;1;-;-;1;-;-;-;-;1;1;-;1;1;-;2;8;4;4;4;6;3;2;8;10;15;17;23;61;-;178
"292060 Maragogipe";2;1;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;5;2;2;13;8;9;11;6;7;8;22;21;22;32;27;68;-;272
"292070 Maraú";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;3;2;2;6;1;1;3;4;6;7;8;9;21;-;77
"292080 Marcionílio Souza";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;1;1;-;3;-;2;5;7;6;8;23;-;61
"292090 Mascote";-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;2;3;6;-;4;1;2;3;3;7;3;6;9;5;23;-;83
"292100 Mata de São João";8;1;4;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;2;9;11;15;10;11;12;21;28;19;25;29;24;57;-;290
"292105 Matina";2;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;1;-;4;3;8;6;3;3;4;4;17;-;63
"292110 Medeiros Neto";-;1;1;1;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;5;3;8;7;10;9;13;12;12;18;23;29;60;-;217
"292120 Miguel Calmon";4;1;1;1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;1;3;5;1;5;7;6;11;14;15;14;26;62;-;181
"292130 Milagres";1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;1;3;-;3;2;2;2;7;2;4;2;8;3;21;-;67
"292140 Mirangaba";2;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;1;2;2;6;1;6;8;5;14;8;24;-;85
"292145 Mirante";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;4;-;2;5;5;23;-;46
"292150 Monte Santo";8;3;4;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;2;7;8;11;12;10;12;17;14;15;27;32;137;-;323
"292160 Morpará";3;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3;-;2;1;1;3;5;6;5;9;23;-;66
"292170 Morro do Chapéu";4;3;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;6;8;4;9;11;9;15;14;18;19;28;24;75;-;255
"292180 Mortugaba";-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;3;4;1;1;1;3;3;2;4;5;14;44;-;88
"292190 Mucugê";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;3;4;2;3;5;4;2;3;24;-;58
"292200 Mucuri";3;3;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;1;2;1;4;11;8;9;9;9;6;15;18;21;15;17;49;-;205
"292205 Mulungu do Morro";2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;6;6;5;2;5;6;2;10;5;8;3;3;24;-;90
"292210 Mundo Novo";2;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;5;2;3;5;6;6;3;8;12;13;8;16;47;-;140
"292220 Muniz Ferreira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;1;1;-;-;3;8;1;4;4;8;11;-;45
"292225 Muquém de São Francisco";3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;1;-;1;4;6;-;3;5;4;5;7;-;43
"292230 Muritiba";5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;2;3;8;5;6;10;9;8;4;9;17;21;20;36;62;-;227
"292240 Mutuípe";3;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;6;4;9;3;6;8;6;7;17;8;19;61;-;165
"292250 Nazaré";2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;11;5;3;5;6;12;12;20;23;19;19;18;71;-;229
"292260 Nilo Peçanha";1;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;3;3;1;5;2;6;8;6;8;6;4;9;-;70
"292265 Nordestina";2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;3;2;4;4;1;3;-;1;4;6;7;5;25;-;71
"292270 Nova Canaã";5;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;2;1;3;3;2;3;4;4;12;8;34;-;85
"292273 Nova Fátima";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;3;3;2;2;3;3;3;5;7;5;22;-;62
"292275 Nova Ibiá";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;4;2;2;-;1;2;11;-;27
"292280 Nova Itarana";2;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;3;3;2;1;5;2;6;3;4;5;21;-;64
"292285 Nova Redenção";2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;4;2;1;-;3;5;10;1;21;-;52
"292290 Nova Soure";6;1;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;1;5;2;2;8;6;6;13;17;6;8;28;17;56;-;186
"292300 Nova Viçosa";6;1;5;1;-;1;2;-;-;-;-;-;-;-;-;1;1;-;3;5;1;5;6;6;9;6;6;7;19;16;26;20;31;24;69;-;277
"292303 Novo Horizonte";2;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;3;1;3;1;3;4;1;6;2;9;2;34;-;75
"292305 Novo Triunfo";3;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;2;2;3;4;3;4;1;1;6;4;8;25;-;68
"292310 Olindina";1;1;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3;3;1;2;1;4;3;7;6;1;-;10;7;12;12;10;19;45;-;152
"292320 Oliveira dos Brejinhos";3;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;3;4;5;3;8;7;9;6;4;6;15;9;55;-;141
"292330 Ouriçangas";1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;2;1;1;2;6;5;4;2;8;26;-;61
"292335 Ourolândia";1;1;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;4;3;13;4;8;4;10;15;8;13;12;-;106
"292340 Palmas de Monte Alto";3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;6;4;5;13;7;6;10;10;11;4;42;-;125
"292350 Palmeiras";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;2;1;3;1;3;3;4;10;4;7;18;-;63
"292360 Paramirim";2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;-;3;2;6;3;5;4;12;16;55;-;113
"292370 Paratinga";7;1;1;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;1;-;-;8;4;8;1;4;10;4;6;6;19;20;20;67;-;190
"292380 Paripiranga";1;3;-;-;1;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-;-;2;4;1;4;6;5;4;11;10;13;23;20;69;-;180
"292390 Pau Brasil";3;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;3;2;4;1;4;4;4;6;9;10;8;11;-;73
"292400 Paulo Afonso";23;4;5;1;2;1;-;-;1;1;-;1;-;-;1;-;1;2;1;3;4;4;19;14;20;15;28;33;45;44;55;51;82;86;215;2;764
"292405 Pé de Serra";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;1;4;2;2;1;4;6;1;5;4;8;41;-;85
"292410 Pedrão";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;1;-;3;3;2;-;2;2;2;6;20;-;48
"292420 Pedro Alexandre";-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;4;1;3;1;5;-;1;3;1;3;4;8;15;-;54
"292430 Piatã";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;2;3;2;3;6;9;7;13;12;12;48;-;123
"292440 Pilão Arcado";5;2;4;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2;1;4;1;1;4;6;2;6;8;9;15;10;17;44;-;144
"292450 Pindaí";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;2;1;2;6;4;3;4;5;9;6;8;30;-;86
"292460 Pindobaçu";5;1;1;1;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;2;-;1;3;2;3;6;6;9;6;5;13;17;18;18;33;-;152
"292465 Pintadas";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;2;4;9;2;2;4;2;10;4;25;-;68
"292467 Piraí do Norte";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;1;1;-;2;9;4;5;3;1;9;-;41
"292470 Piripá";-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;2;1;-;-;8;1;4;4;5;5;35;1;71
"292480 Piritiba";1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;2;3;1;3;4;7;4;10;6;12;17;11;48;-;133
"292490 Planaltino";-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;1;2;1;4;2;4;2;9;19;-;48
"292500 Planalto";2;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5;4;6;4;4;7;7;10;7;12;15;20;49;-;156
"292510 Poções";10;-;-;-;-;-;-;-;1;1;1;-;-;2;-;-;-;1;2;2;1;4;5;9;17;11;10;16;18;17;19;24;31;42;120;1;365
"292520 Pojuca";4;2;2;1;-;-;-;-;-;1;-;-;-;1;-;-;-;2;4;4;6;4;8;6;4;11;6;12;8;4;14;21;12;21;48;-;206
"292525 Ponto Novo";3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7;5;5;4;6;6;7;11;10;13;25;-;105
"292530 Porto Seguro";16;11;11;3;2;1;1;2;-;1;1;2;-;1;1;1;-;3;6;13;15;12;56;30;29;24;39;37;46;54;56;53;78;58;144;4;811
"292540 Potiraguá";2;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;1;2;1;2;1;1;2;6;4;5;9;4;19;1;63
"292550 Prado";2;-;4;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;2;1;3;2;3;3;11;6;6;9;14;9;18;10;11;21;45;-;183
"292560 Presidente Dutra";3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;2;6;3;6;8;8;11;12;36;-;100
"292570 Presidente Jânio Quadros";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;4;2;1;2;7;1;4;7;16;38;-;86
"292575 Presidente Tancredo Neves";5;1;-;-;1;-;-;1;1;-;-;-;-;-;-;-;1;2;-;-;-;1;6;2;4;2;5;4;5;8;8;12;8;9;44;-;130
