Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária
Período:2017
"Município-BA";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Idade ignorada";"Total"
"292830 Santanópolis";-;-;-;-;1;1;2;6;5;7;14;33;-;69
"292860 Santo Amaro";12;-;-;-;6;23;20;30;44;70;81;93;-;379
"292870 Santo Antônio de Jesus";16;4;-;2;19;50;36;47;80;108;115;175;-;652
"292880 Santo Estêvão";11;-;-;3;4;22;19;26;42;44;72;105;-;348
"292890 São Desidério";8;2;1;2;4;6;9;8;19;12;15;36;-;122
"292895 São Domingos";1;-;-;-;-;2;2;3;3;6;11;25;-;53
"292910 São Felipe";3;-;-;-;4;7;4;9;16;17;33;40;-;133
"292900 São Félix";2;-;3;-;4;7;9;7;14;14;20;33;-;113
"292905 São Félix do Coribe";1;-;-;-;3;4;5;8;8;10;15;35;-;89
"292920 São Francisco do Conde";6;4;2;-;6;12;16;15;27;40;41;46;-;215
"292925 São Gabriel";6;-;-;-;1;4;6;8;10;16;21;37;-;109
"292930 São Gonçalo dos Campos";5;-;-;1;4;12;16;13;26;30;43;75;-;225
"292935 São José da Vitória";5;-;-;1;-;6;2;4;2;13;7;10;-;50
"292937 São José do Jacuípe";2;-;-;-;-;2;6;4;4;9;14;19;-;60
"292940 São Miguel das Matas";5;-;2;-;-;-;3;5;9;5;16;21;-;66
"292950 São Sebastião do Passé";6;-;1;2;11;18;18;17;36;44;30;69;-;252
"292960 Sapeaçu";4;2;-;-;5;7;1;11;16;22;24;35;-;127
"292970 Sátiro Dias";1;2;-;1;1;8;8;5;16;17;20;32;-;111
"292975 Saubara";1;-;-;-;3;12;4;6;11;13;14;27;-;91
"292980 Saúde";3;1;-;3;1;2;5;2;10;13;17;21;-;78
"292990 Seabra";13;2;-;3;3;10;15;17;21;31;56;97;-;268
"293000 Sebastião Laranjeiras";1;2;-;-;-;-;1;1;7;6;11;15;-;44
"293010 Senhor do Bonfim";15;4;1;2;13;19;28;49;65;88;105;146;-;535
"293020 Sento Sé";11;3;1;-;4;7;10;12;11;27;23;29;-;138
"293015 Serra do Ramalho";8;1;-;1;4;11;10;16;11;17;32;57;2;170
"293030 Serra Dourada";3;1;-;1;-;2;3;2;9;10;24;26;-;81
"293040 Serra Preta";2;-;-;-;2;7;5;7;10;19;29;65;-;146
"293050 Serrinha";16;1;3;-;5;29;30;42;59;81;84;140;-;490
"293060 Serrolândia";2;1;-;-;2;3;8;8;9;19;20;33;-;105
"293070 Simões Filho";27;4;2;4;46;99;70;81;108;131;128;130;-;830
"293075 Sítio do Mato";4;-;-;-;2;4;4;6;8;11;8;8;-;55
"293076 Sítio do Quinto";3;-;-;-;-;4;5;5;8;11;12;21;-;69
"293077 Sobradinho";10;-;1;-;-;5;12;10;13;25;26;31;-;133
"293080 Souto Soares";7;1;-;-;2;3;9;11;5;21;23;34;-;116
"293090 Tabocas do Brejo Velho";-;-;-;-;1;1;3;2;4;5;10;15;-;41
"293100 Tanhaçu";6;-;-;-;-;1;3;8;10;21;24;53;-;126
"293105 Tanque Novo";4;-;-;-;-;2;8;13;9;5;19;41;-;101
"293110 Tanquinho";1;-;-;-;-;7;5;2;6;14;18;18;-;71
"293120 Taperoá";2;-;-;2;-;6;6;9;11;23;15;30;-;104
"293130 Tapiramutá";1;-;-;-;2;6;4;8;12;13;19;20;-;85
"293135 Teixeira de Freitas";21;3;2;4;38;50;65;87;128;143;182;248;-;971
"293140 Teodoro Sampaio";1;-;-;-;-;3;6;2;5;6;8;21;-;52
"293150 Teofilândia";2;1;-;-;7;6;7;6;12;23;28;34;-;126
"293160 Teolândia";1;-;-;1;1;3;6;6;9;10;8;15;-;60
"293170 Terra Nova";2;-;-;-;1;3;3;4;8;11;16;22;-;70
"293180 Tremedal";1;-;-;-;-;5;3;3;12;10;24;47;-;105
"293190 Tucano";9;-;1;1;9;13;11;17;24;47;56;88;-;276
"293200 Uauá";6;1;-;-;3;4;7;11;9;17;34;66;-;158
"293210 Ubaíra";4;1;-;-;4;5;8;7;15;15;21;48;-;128
"293220 Ubaitaba";4;1;1;-;5;12;11;8;16;29;26;33;1;147
"293230 Ubatã";4;-;-;-;1;5;9;7;21;28;24;41;-;140
"293240 Uibaí";1;-;-;-;-;5;6;6;15;11;20;35;-;99
"293245 Umburanas";1;-;-;-;2;6;5;6;6;12;12;13;-;63
"293250 Una";6;1;-;1;6;6;9;7;19;31;26;29;-;141
"293260 Urandi";4;-;-;1;2;2;3;7;14;10;29;28;-;100
"293270 Uruçuca";5;-;-;-;2;7;7;7;18;26;28;41;-;141
"293280 Utinga";2;-;1;1;2;5;7;4;15;14;19;33;-;103
"293290 Valença";25;2;1;1;18;37;34;38;53;89;101;156;-;555
"293300 Valente";8;1;-;-;6;9;3;10;19;18;35;40;-;149
"293305 Várzea da Roça";2;-;-;-;2;6;3;3;7;9;18;23;-;73
"293310 Várzea do Poço";3;-;-;-;-;5;1;1;6;18;11;17;-;62
"293315 Várzea Nova";2;-;1;1;1;1;2;9;8;12;15;22;-;74
"293317 Varzedo";2;1;-;-;1;4;2;6;8;12;14;15;-;65
"293320 Vera Cruz";5;3;1;2;15;27;18;28;45;55;60;52;-;311
"293325 Vereda";-;-;-;-;-;1;1;3;5;7;10;12;-;39
"293330 Vitória da Conquista";87;13;5;12;79;120;126;166;248;333;453;629;11;2282
"293340 Wagner";3;-;-;-;3;1;-;3;5;7;13;17;-;52
"293345 Wanderley";3;-;-;1;1;1;7;10;9;11;14;25;-;82
"293350 Wenceslau Guimarães";10;1;-;3;5;15;11;7;15;15;20;26;-;128
"293360 Xique-Xique";18;-;1;1;11;15;12;18;40;46;48;84;-;294
"290000 Município ignorado - BA";3;1;-;2;7;40;38;31;32;16;7;10;124;311
"Total";3087;432;259;404;2278;5353;5481;6852;10341;13747;17045;26195;183;91657
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
