Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Faixa Etária OPAS
Período:2017
"Município-BA";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"293130 Tapiramutá";1;-;-;2;7;8;6;14;18;29;-;85
"293135 Teixeira de Freitas";21;3;6;66;54;69;112;151;152;337;-;971
"293140 Teodoro Sampaio";1;-;-;2;5;3;2;6;9;24;-;52
"293150 Teofilândia";2;1;-;12;5;3;11;16;29;47;-;126
"293160 Teolândia";1;-;1;3;5;5;7;10;11;17;-;60
"293170 Terra Nova";2;-;-;2;3;5;1;13;12;32;-;70
"293180 Tremedal";1;-;-;3;2;5;7;10;18;59;-;105
"293190 Tucano";9;-;2;16;11;11;26;26;60;115;-;276
"293200 Uauá";6;1;-;5;7;8;10;11;25;85;-;158
"293210 Ubaíra";4;1;-;9;3;9;12;14;18;58;-;128
"293220 Ubaitaba";4;1;1;11;12;9;11;16;34;47;1;147
"293230 Ubatã";4;-;-;2;7;7;16;23;30;51;-;140
"293240 Uibaí";1;-;-;4;1;7;12;13;19;42;-;99
"293245 Umburanas";1;-;-;6;2;9;5;9;11;20;-;63
"293250 Una";6;1;1;10;9;6;11;25;29;43;-;141
"293260 Urandi";4;-;1;3;2;4;10;16;14;46;-;100
"293270 Uruçuca";5;-;-;5;7;9;6;25;26;58;-;141
"293280 Utinga";2;-;2;4;5;8;6;16;16;44;-;103
"293290 Valença";25;2;2;35;35;32;52;69;95;208;-;555
"293300 Valente";8;1;-;10;6;8;15;15;25;61;-;149
"293305 Várzea da Roça";2;-;-;4;6;2;6;8;13;32;-;73
"293310 Várzea do Poço";3;-;-;2;3;2;2;15;11;24;-;62
"293315 Várzea Nova";2;-;2;2;-;7;6;12;12;31;-;74
"293317 Varzedo";2;1;-;2;3;4;10;6;15;22;-;65
"293320 Vera Cruz";5;3;3;32;21;20;33;47;70;77;-;311
"293325 Vereda";-;-;-;-;1;4;-;8;9;17;-;39
"293330 Vitória da Conquista";87;13;17;143;114;151;192;292;391;871;11;2282
"293340 Wagner";3;-;-;3;1;2;2;7;9;25;-;52
"293345 Wanderley";3;-;1;1;4;12;6;13;12;30;-;82
"293350 Wenceslau Guimarães";10;1;3;14;10;10;9;18;18;35;-;128
"293360 Xique-Xique";18;-;2;21;12;8;33;38;56;106;-;294
"290000 Município ignorado - BA";3;1;2;33;33;33;37;24;6;15;124;311
"Total";3087;432;663;5220;5017;6024;8391;12021;15564;35055;183;91657
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
