Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Mes do óbito
Período:2017
"Município-BA";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"293000 Sebastião Laranjeiras";7;-;3;3;-;10;4;4;4;6;2;1;44
"293010 Senhor do Bonfim";31;46;40;52;42;47;52;47;43;55;37;43;535
"293020 Sento Sé";11;8;10;11;11;20;14;9;6;10;17;11;138
"293015 Serra do Ramalho";23;12;12;14;13;14;18;14;12;20;9;9;170
"293030 Serra Dourada";6;2;7;9;4;6;7;10;5;11;6;8;81
"293040 Serra Preta";10;14;10;19;12;7;17;10;15;10;8;14;146
"293050 Serrinha";41;35;46;37;37;30;46;47;41;38;48;44;490
"293060 Serrolândia";14;6;6;12;12;11;8;4;8;6;8;10;105
"293070 Simões Filho";76;68;68;70;62;55;79;84;76;64;63;65;830
"293075 Sítio do Mato";11;2;3;6;5;5;4;3;4;5;2;5;55
"293076 Sítio do Quinto";6;4;3;3;6;6;8;7;6;8;5;7;69
"293077 Sobradinho";13;9;7;8;15;12;12;11;13;11;9;13;133
"293080 Souto Soares";5;5;7;11;11;13;11;15;14;8;9;7;116
"293090 Tabocas do Brejo Velho";2;5;3;4;5;3;-;2;3;4;6;4;41
"293100 Tanhaçu";9;13;9;8;11;8;10;12;8;12;9;17;126
"293105 Tanque Novo";6;6;11;7;6;12;14;10;9;10;5;5;101
"293110 Tanquinho";2;3;5;6;8;11;3;6;6;6;7;8;71
"293120 Taperoá";9;10;5;7;3;7;11;11;10;11;13;7;104
"293130 Tapiramutá";5;6;5;12;4;5;10;5;8;8;12;5;85
"293135 Teixeira de Freitas";93;72;101;72;76;76;82;69;80;87;84;79;971
"293140 Teodoro Sampaio";2;2;5;6;5;5;5;2;4;4;6;6;52
"293150 Teofilândia";18;7;11;14;11;10;10;10;11;9;6;9;126
"293160 Teolândia";5;-;4;3;6;4;6;7;5;9;7;4;60
"293170 Terra Nova";5;4;6;10;11;7;5;8;6;2;2;4;70
"293180 Tremedal";10;7;10;16;8;7;10;5;5;9;9;9;105
"293190 Tucano";30;19;16;24;20;28;24;30;18;14;25;28;276
"293200 Uauá";11;10;14;10;11;12;13;11;17;16;18;15;158
"293210 Ubaíra";15;7;8;14;11;11;13;14;9;10;9;7;128
"293220 Ubaitaba";14;9;11;10;13;17;16;11;10;9;11;17;148
"293230 Ubatã";12;12;7;10;12;10;11;12;13;15;14;12;140
"293240 Uibaí";10;7;9;7;10;7;8;5;9;9;11;7;99
"293245 Umburanas";10;3;7;-;5;7;7;5;6;6;3;4;63
"293250 Una";20;14;12;11;13;12;19;10;6;5;7;12;141
"293260 Urandi";5;4;2;9;10;11;11;9;9;5;10;15;100
"293270 Uruçuca";8;8;13;15;5;11;12;15;13;13;13;15;141
"293280 Utinga";8;9;11;11;5;6;4;11;9;6;13;10;103
"293290 Valença";50;35;48;53;41;45;52;46;61;45;34;45;555
"293300 Valente";8;10;7;13;15;22;16;9;13;10;16;10;149
"293305 Várzea da Roça";8;5;3;9;4;7;9;4;5;7;7;5;73
"293310 Várzea do Poço";3;7;2;4;6;2;7;8;4;6;6;7;62
"293315 Várzea Nova";6;7;5;6;4;9;10;6;5;6;6;4;74
"293317 Varzedo";9;4;5;2;7;7;8;8;2;3;2;8;65
"293320 Vera Cruz";22;25;34;23;33;32;18;33;22;27;16;26;311
"293325 Vereda";3;2;3;2;4;4;4;4;3;3;4;3;39
"293330 Vitória da Conquista";171;181;174;173;187;190;227;201;183;215;183;200;2285
"293340 Wagner";6;1;4;8;3;9;8;4;1;5;2;1;52
"293345 Wanderley";3;6;12;3;6;10;12;12;5;7;4;2;82
"293350 Wenceslau Guimarães";13;15;18;5;9;10;12;15;12;8;7;4;128
"293360 Xique-Xique";20;18;31;31;25;26;24;21;20;23;23;32;294
"290000 Município ignorado - BA";30;23;21;38;31;20;25;28;28;26;26;20;316
"Total";7599;6611;7435;7538;7769;7921;8489;8028;7539;7768;7174;7798;91669
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 17/10/2024.
 
