Mortalidade geral - Bahia
Óbitos por Residência por Município-BA e Ano do Óbito
Período:2014-2024
"Município-BA";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"293090 Tabocas do Brejo Velho";59;59;37;41;59;55;60;57;82;77;55;641
"293100 Tanhaçu";106;102;117;126;128;137;160;158;168;143;125;1470
"293105 Tanque Novo";75;102;94;101;98;114;99;131;106;134;113;1167
"293110 Tanquinho";46;65;51;71;68;66;96;75;83;73;62;756
"293120 Taperoá";96;78;73;104;90;100;109;126;115;103;76;1070
"293130 Tapiramutá";72;76;99;85;76;79;77;76;94;97;82;913
"293135 Teixeira de Freitas";943;878;940;971;989;940;1225;1301;1213;1126;1011;11537
"293140 Teodoro Sampaio";47;73;49;52;48;43;56;79;63;57;47;614
"293150 Teofilândia";100;115;103;126;103;113;135;135;156;124;97;1307
"293160 Teolândia";71;65;69;60;77;78;71;92;108;64;69;824
"293170 Terra Nova";80;94;65;70;60;76;92;104;78;85;58;862
"293180 Tremedal";117;150;133;105;127;145;147;153;145;156;98;1476
"293190 Tucano";250;327;266;276;229;269;258;322;346;318;294;3155
"293200 Uauá";157;111;164;158;169;142;186;228;215;186;156;1872
"293210 Ubaíra";119;115;133;128;128;136;150;165;156;138;109;1477
"293220 Ubaitaba";151;156;153;148;155;171;186;185;183;160;141;1789
"293230 Ubatã";151;155;167;140;151;171;158;166;176;162;132;1729
"293240 Uibaí";81;89;111;99;87;98;109;127;132;118;71;1122
"293245 Umburanas";46;43;64;63;54;77;78;86;79;42;36;668
"293250 Una";140;155;154;141;172;140;152;178;186;150;132;1700
"293260 Urandi";83;89;98;100;101;89;118;90;123;106;97;1094
"293270 Uruçuca";156;153;145;141;151;183;207;208;188;170;144;1846
"293280 Utinga";106;113;102;103;107;132;138;140;147;142;96;1326
"293290 Valença";598;545;596;555;559;620;644;644;674;614;467;6516
"293300 Valente";116;141;137;149;125;118;160;184;198;187;89;1604
"293305 Várzea da Roça";77;96;81;73;79;105;111;98;108;118;59;1005
"293310 Várzea do Poço";58;59;50;62;62;54;75;63;76;62;51;672
"293315 Várzea Nova";49;64;79;74;79;93;98;116;125;97;78;952
"293317 Varzedo";61;62;67;65;60;71;77;63;85;69;55;735
"293320 Vera Cruz";251;293;294;311;255;330;375;403;367;360;307;3546
"293325 Vereda";20;45;29;39;63;50;52;51;43;60;39;491
"293330 Vitória da Conquista";2076;2062;2159;2285;2155;2189;2578;2837;2601;2483;2233;25658
"293340 Wagner";61;47;50;52;57;66;60;64;71;78;38;644
"293345 Wanderley";73;48;71;82;68;81;65;107;67;68;60;790
"293350 Wenceslau Guimarães";108;90;110;128;125;126;159;165;184;131;81;1407
"293360 Xique-Xique";280;260;277;294;331;300;303;391;381;306;257;3380
"290000 Município ignorado - BA";609;480;378;316;350;307;282;302;262;265;124;3675
"Total";84359;87430;88359;91669;90308;93642;107315;115574;107757;103055;81639;1051107
 Fonte: SESAB/SUVISA/DIVEP/Sistema de Informação sobre Mortalidade - SIM
 
 Notas:
 
   Dados sobre óbitos não fetais de residentes na Bahia, independentemente da UF de ocorrênca.
   "Períodos Disponíveis" refere-se ao ano de ocorrência do óbito.
   Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas.
Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
   Nas tabulações por Estabelecimento de saúde, foram consideradas as unidades que declararam pelo menos um óbito no SIM.
   Os dados de 2006 a 2013 podem estar quantitativamente diferentes da divulgação de outras fontes, em virtude de atualizações posteriores que são feitas no Estado.
   Última atualização realizada em 30/10/2024.
 
 
